id,ka,years
1,0.008,8
2,0.01,10
3,0.011,11
4,0.028,28
5,0.035,35
6,0.035,35
7,0.048,48
8,0.048,48
9,0.048,48
10,0.048,48
11,0.048,48
12,0.058,58
13,0.059,59
14,0.064,64
15,0.064,64
16,0.071,71
17,0.074,74
18,0.087,87
19,0.09,90
20,0.09,90
21,0.098,98
22,0.1,100
23,0.1,100
24,0.112,112
25,0.126,126
26,0.129,129
27,0.13,130
28,0.15,150
29,0.155,155
30,0.157,157
31,0.185,185
32,0.22,220
33,0.23,230
34,0.24,240
35,0.24,240
36,0.263,263
37,0.3,300
38,0.321,321
39,0.337,337
40,0.35,350
41,0.379,379
42,0.385,385
43,0.4,400
44,0.41,410
45,0.53,530
46,0.588,588
47,0.637,637
48,0.69,690
49,0.807,807
50,1.02,1020
51,1.035,1035
52,1.08,1080
53,1.133,1133
54,1.141,1141
55,1.183,1183
56,1.2,1200
57,1.25,1250
58,1.254,1254
59,1.265,1265
60,1.31,1310
61,1.376,1376
62,1.396,1396
63,1.415,1415
64,1.476,1476
65,1.48,1480
66,1.482,1482
67,1.5,1500
68,1.532,1532
69,1.562,1562
70,1.585,1585
71,1.617,1617
72,1.62,1620
73,1.65,1650
74,1.707,1707
75,1.735,1735
76,1.74,1740
77,1.74,1740
78,1.74,1740
79,1.8,1800
80,1.84,1840
81,1.89,1890
82,1.9,1900
83,1.927,1927
84,1.955,1955
85,1.996,1996
86,2.057,2057
87,2.065,2065
88,2.07,2070
89,2.123,2123
90,2.234,2234
91,2.244,2244
92,2.262,2262
93,2.269,2269
94,2.27,2270
95,2.289,2289
96,2.5,2500
97,2.569,2569
98,2.569,2569
99,2.594,2594
100,2.62,2620
101,2.627,2627
102,2.691,2691
103,2.698,2698
104,2.8,2800
105,2.898,2898
106,2.9,2900
107,3.029,3029
108,3.03,3030
109,3.03,3030
110,3.069,3069
111,3.51,3510
112,3.58,3580
113,3.64,3640
114,3.65,3650
115,3.67,3670
116,3.71,3710
117,3.74,3740
118,3.77,3770
119,3.92,3920
120,3.95,3950
121,4,4000
122,4,4000
123,4,4000
124,4,4000
125,4,4000
126,4,4000
127,4.032,4032
128,4.042,4042
129,4.06,4060
130,4.069,4069
131,4.19,4190
132,4.24,4240
133,4.277,4277
134,4.5,4500
135,4.5,4500
136,4.539,4539
137,4.674,4674
138,4.786,4786
139,5.01,5010
140,5.2,5200
141,5.231,5231
142,5.52,5520
143,5.68,5680
144,5.813,5813
145,6.2,6200
146,6.25,6250
147,6.4,6400
148,6.477,6477
149,6.55,6550
150,6.71,6710
151,6.9,6900
152,6.91,6910
153,7.141,7141
154,7.289,7289
155,7.29,7290
156,7.363,7363
157,7.547,7547
158,7.587,7587
159,7.63,7630
160,7.824,7824
161,7.834,7834
162,7.898,7898
163,7.97,7970
164,8.059,8059
165,8.202,8202
166,8.202,8202
167,8.289,8289
168,8.301,8301
169,8.369,8369
170,8.38,8380
171,8.55,8550
172,8.64,8640
173,8.683,8683
174,8.706,8706
175,8.806,8806
176,8.886,8886
177,8.971,8971
178,9.069,9069
179,9.076,9076
180,9.362,9362
181,9.588,9588
182,9.599,9599
183,9.61,9610
184,9.65,9650
185,9.71,9710
186,9.765,9765
187,9.846,9846
188,9.9,9900
189,9.9,9900
190,9.9,9900
191,9.921,9921
192,9.958,9958
193,10,10000
194,10,10000
195,10,10000
196,10,10000
197,10,10000
198,10,10000
199,10,10000
200,10,10000
201,10,10000
202,10,10000
203,10.04,10040
204,10.078,10078
205,10.13,10130
206,10.18,10180
207,10.189,10189
208,10.3,10300
209,10.425,10425
210,10.488,10488
211,10.55,10550
212,10.651,10651
213,10.66,10660
214,10.96,10960
215,11.119,11119
216,11.322,11322
217,11.39,11390
218,11.495,11495
219,11.497,11497
220,11.5,11500
221,12,12000
222,12.027,12027
223,12.3,12300
224,12.52,12520
225,12.555,12555
226,12.603,12603
227,12.67,12670
228,12.908,12908
229,13.069,13069
230,13.109,13109
231,13.41,13410
232,13.55,13550
233,13.57,13570
234,13.69,13690
235,13.75,13750
236,13.79,13790
237,13.8,13800
238,13.83,13830
239,13.84,13840
240,13.84,13840
241,13.845,13845
242,13.867,13867
243,13.89,13890
244,13.92,13920
245,13.97,13970
246,14,14000
247,14.32,14320
248,14.573,14573
249,14.602,14602
250,14.9,14900
251,14.937,14937
252,15.2,15200
253,16.092,16092
254,16.487,16487
255,16.5,16500
256,18,18000
257,18.7,18700
258,19.96,19960
259,23,23000
260,25,25000
261,25,25000
262,26.15,26150
263,29.42,29420
264,30,30000
265,30,30000
266,30,30000
267,30,30000